comp_code,stock_code
6,ACC
9,AEGISCHEM
17,AMRUTANJAN
19,ANDHRACEMT
20,IPAPPM
23,APOLLOTYRE
29,ARVIND
31,ASHOKLEY
33,ASIANHOTNR
34,ASIANPAINT
35,ASSAMCO
37,SKFINDIA
39,ASTRAZEN
42,ATLASCYCLE
43,ATUL
50,BAJAJHLDNG
51,BAJAJELEC
55,BALKRISIND
56,BALLARPUR
57,BANARISUG
59,BASF
60,BATAINDIA
62,BAYERCROP
64,BERGEPAINT
68,BBL
69,BHARATFORG
70,BHARATGEAR
72,SINTEX
77,BIRLACORPN
78,BIRLAPOWER
79,BLISSGVS
81,BLUEBLENDS
82,BLUESTARCO
84,BBTC
85,BOMDYEING
88,RELINFRA
90,ABBOTINDIA
93,BRITANNIA
99,CESC
102,GRAPHITE
103,CARBORUNIV
104,CEATLTD
105,ITDCEM
106,CENTENKA
107,CENTURYTEX
111,EXIDEIND
114,CIPLA
116,CLUTCHAUTO
117,DICIND
118,COLPAL
119,CLNINDIA
121,TATACOFFEE
123,COROMANDEL
124,COSMOFILMS
125,CROMPGREAV
128,DCM
131,DALMIASUG
134,DECCANCE
135,DEEPAKFERT
136,DEEPAKNTR
141,DCW
148,EIDPARRY
149,MERCK
150,EIHOTEL
151,EICHERMOT
152,ELECON
154,ELECTCAST
155,ELGIEQUIP
159,GET&D
160,HINDUJAFO
161,ESCORTS
164,ESSELPACK
165,EVERESTIND
166,EXCELINDUS
171,FINCABLES
172,FIRSTLEASE
175,NESTLEIND
180,GKWLIMITED
183,DELTAMAGNT
184,GABRIEL
186,GAMMONIND
190,GARWALLROP
195,GLAXO
196,GOACARBON
197,FMGOETZE
200,KANSAINER
204,SAREGAMA
207,GESHIP
208,GREAVESCOT
209,GRINDWELL
210,GOLDENTOBC
213,GNFC
214,SETCO
217,GUJALKALI
218,AMBUJACEM
226,GSFC
227,GRASIM
230,HDFC
231,GSKCONS
233,HARRMALAYA
237,HEROMOTOCO
242,ABB
245,HCC
246,HINDDORROL
247,HINDMOTORS
249,BAJAJHIND
250,HSIL
251,HEG
252,HINDALCO
253,HINDCOMPOS
255,HINDUNILVR
256,SANOFI
257,HOTELEELA
259,HIL
262,ZENSARTECH
265,GOCLCORP
266,AKZOINDIA
270,INDIACEM
278,INDIANCARD
281,IFBIND
282,INDHOTEL
283,INDIANHUME
284,LINDEINDIA
285,ABIRLANUVO
288,GILLETTE
292,CASTROLIND
295,INGERRAND
298,TATAINVEST
300,TATASPONGE
301,ITC
302,IVP
303,JBCHEPHARM
304,JKTYRE
311,JAYSREETEA
312,JENSONICOL
316,KCP
322,KSL
328,WHIRLPOOL
329,KESORAMIND
330,KHAITANELE
336,KIRLOSBROS
337,CUMMINSIND
341,KOTARISUG
342,KSBPUMPS
345,TRENT
346,LAXMIMACH
347,LAKPRE
348,LT
351,LML
355,MANUGRAPH
357,RAMCOCEM
363,MAHSCOOTER
365,M&M
367,MANGLMCEM
368,MANGCHEFER
372,MFSL
378,BOSCHLTD
384,MODINSULAT
387,MODIRUBBER
390,PENINLAND
391,MRF
392,MUKANDLTD
396,HEIDELBERG
401,NCLIND
410,NELCO
412,PEL
415,NOCIL
419,ORIENTABRA
420,ORIENTPPR
421,ORIENTHOT
422,OCL
425,OSWALAGRO
434,PFIZER
435,PHILIPCARB
444,PRAKASH
445,SURYAROSNI
446,FAGBEARING
447,PREMIER
450,PRESSMN
453,PDUMJEPULP
457,PUNJABCHEM
465,RALLIS
470,RANEHOLDIN
474,RAYMOND
476,RELIANCE
478,REVATHI
480,PGHH
484,ROLLT
502,VEDL
503,SESHAPAPER
505,SHALPAINTS
508,SHREECEM
513,SRF
514,SIEMENS
515,SIRPAPER
516,SIYSIL
519,SOMANYCERA
525,SPIC
526,TVSSRICHAK
529,SIL
533,STEELTUBES
535,JKLAKSHMI
536,KITPLYIND
537,SUNDRMBRAK
538,SUNCLAYLTD
539,SUNDRMFAST
540,SUNDARMFIN
541,SUPREMEIND
544,SMLISUZU
549,TALBROAUTO
552,TATACHEM
554,TATAPOWER
555,INFOMEDIA
556,TRF
557,TATAGLOBAL
560,TATAMOTORS
562,TEXINFRA
563,TIRUMALCHM
564,THOMASCOOK
565,TINPLATE
566,TATASTEEL
569,TIL
573,TUBEINVEST
577,UNICHEMLAB
578,EVEREADY
580,UBHOLDINGS
587,UNIVCABLES
592,JUBILANT
597,VOLTAS
598,VSTIND
600,UBENGG
601,WSI
602,WALCHANNAG
606,WENDT
607,WSTCSTPAPR
609,WHEELS
611,WILLARDLTD
614,WIPRO
618,XPROINDIA
620,ZENITHBIR
621,ZUARIGLOB
622,AUTOAXLES
