#|Source|Pair|Volume (24h)|Price|Volume (%)|Updated
1|Bitfinex|BTC/USD|$97,209,100|$4299.90|8.62%|Recently
2|bitFlyer|BTC/JPY|$52,117,800|$4302.54|4.62%|Recently
3|Bithumb|BTC/KRW|$51,150,100|$4334.05|4.54%|Recently
4|Bitstamp|BTC/USD|$42,716,100|$4307.97|3.79%|Recently
5|GDAX|BTC/USD|$40,917,400|$4312.03|3.63%|Recently
6|HitBTC|BCC/BTC|$37,448,000|$4362.97|3.32%|Recently
7|WEX|BTC/USD|$24,168,500|$4376.86|2.14%|Recently
8|Kraken|BTC/EUR|$23,057,400|$4312.52|2.04%|Recently
9|Gemini|BTC/USD|$21,497,600|$4300.74|1.91%|Recently
10|BTCC|BTC/USD|$19,096,900|$4370.00|1.69%|Recently
11|Bittrex|BTC/USDT|$18,959,800|$4309.62|1.68%|Recently
12|Binance|NEO/BTC|$17,482,100|$4346.46|1.55%|Recently
13|Bittrex|NEO/BTC|$17,115,500|$4340.45|1.52%|Recently
14|Kraken|BTC/USD|$16,253,400|$4318.40|1.44%|Recently
15|Bittrex|ADA/BTC|$13,997,700|$4320.97|1.24%|Recently
16|HitBTC|XMR/BTC|$13,147,800|$4327.96|1.17%|Recently
17|CHBTC|BTC/CNY|$13,045,000|* $4088.98|1.16%|Recently
18|Poloniex|BTC/USDT|$12,742,900|$4303.12|1.13%|Recently
19|Korbit|BTC/KRW|$11,811,400|$4337.55|1.05%|Recently
20|Bitfinex|ETH/BTC|$11,776,800|$4322.79|1.04%|Recently
21|Bittrex|ETH/BTC|$11,358,000|$4320.89|1.01%|Recently
22|Poloniex|ETH/BTC|$10,811,500|$4325.70|0.96%|Recently
23|Binance|WTC/BTC|$10,563,200|$4296.07|0.94%|Recently
24|OKCoin.cn|BTC/CNY|$9,712,540|* $4146.52|0.86%|Recently
25|Binance|ETH/BTC|$9,708,900|$4303.44|0.86%|Recently
26|LakeBTC|BTC/USD|$9,558,400|$4461.30|0.85%|Recently
27|Bittrex|QTUM/BTC|$9,403,450|$4292.92|0.83%|Recently
28|Coinone|BTC/KRW|$9,328,460|$4333.17|0.83%|Recently
29|Bittrex|EMC2/BTC|$8,875,440|$4337.16|0.79%|Recently
30|Poloniex|BTS/BTC|$8,629,990|$4045.53|0.77%|Recently
31|YoBit|ETH/BTC|$8,423,760|$4349.42|0.75%|Recently
32|itBit|BTC/USD|$7,834,180|$4309.44|0.69%|Recently
33|CoinsBank|BTC/EUR|$7,715,510|$4313.80|0.68%|Recently
34|Binance|BNB/BTC|$7,579,960|$4328.20|0.67%|Recently
35|Binance|SNM/BTC|$7,339,670|$4233.86|0.65%|Recently
36|BCC Exchange|BCC/BTC|$7,312,270|$4319.30|0.65%|Recently
37|CoinsBank|BTC/USD|$6,738,020|$4255.09|0.60%|Recently
38|HitBTC|ZEC/BTC|$6,627,800|$4311.29|0.59%|Recently
39|Bitstamp|BTC/EUR|$6,377,440|$4317.34|0.57%|Recently
40|Bittrex|STRAT/BTC|$6,367,550|$4298.00|0.56%|Recently
41|Bittrex|OMG/BTC|$6,302,970|$4324.59|0.56%|Recently
42|Bittrex|ADX/BTC|$6,252,860|$4334.18|0.55%|Recently
43|Gatecoin|BTC/USD|$6,194,660|$4416.90|0.55%|Recently
44|Gatecoin|BTC/HKD|$6,083,890|$4457.39|0.54%|Recently
45|GDAX|BTC/EUR|$5,989,810|$4395.00|0.53%|Recently
46|HitBTC|ETH/BTC|$5,458,110|$4322.22|0.48%|Recently
47|Bittrex|BAT/BTC|$5,344,080|$4318.49|0.47%|Recently
48|HitBTC|BTC/USDT|$5,322,870|$4318.64|0.47%|Recently
49|Bitfinex|BCH/BTC|$5,122,860|$4334.69|0.45%|Recently
50|Bittrex|BTS/BTC|$4,941,540|$4073.51|0.44%|Recently
51|Livecoin|ETH/BTC|$4,686,350|$4346.09|0.42%|Recently
52|HitBTC|DASH/BTC|$4,552,880|$4324.75|0.40%|Recently
53|Bittrex|PIVX/BTC|$4,534,110|$4361.29|0.40%|Recently
54|Gatecoin|ETH/BTC|$4,424,210|$4330.40|0.39%|Recently
55|BitBay|BTC/PLN|$4,347,760|$4304.20|0.39%|Recently
56|Bittrex|BCC/BTC|$4,314,470|$4344.48|0.38%|Recently
57|Poloniex|XMR/BTC|$4,287,780|$4332.70|0.38%|Recently
58|Poloniex|DASH/BTC|$4,148,100|$4298.14|0.37%|Recently
59|Bittrex|IOP/BTC|$4,101,710|$4285.96|0.36%|Recently
60|YoBit|LSK/BTC|$4,065,270|$4317.25|0.36%|Recently
61|Huobi|BTC/CNY|$3,928,160|* $4047.18|0.35%|Recently
62|Bittrex|XRP/BTC|$3,898,650|$4319.80|0.35%|Recently
63|Binance|BTC/USDT|$3,831,270|$4313.62|0.34%|Recently
64|Poloniex|XRP/BTC|$3,732,450|$4304.42|0.33%|Recently
65|Binance|LINK/BTC|$3,670,800|$4308.71|0.33%|Recently
66|CEX.IO|BTC/USD|$3,588,840|$4364.00|0.32%|Recently
67|CoinExchange|REC/BTC|$3,582,660|$4330.61|0.32%|Recently
68|Binance|QTUM/BTC|$3,259,440|$4292.92|0.29%|Recently
69|Bittrex|LSK/BTC|$3,246,300|$4368.20|0.29%|Recently
70|Bittrex|DGB/BTC|$3,116,910|$4316.43|0.28%|Recently
71|Poloniex|BCH/BTC|$2,946,190|$4332.24|0.26%|Recently
72|Bittrex|LTC/BTC|$2,781,100|$4337.04|0.25%|Recently
