Pair,Source,Volume (24h)(in $)
BTC/USD,24,605085153
BTC/JPY,7,220356706
ETH/BTC,27,79686161
BTC/KRW,3,72289960
BTC/CNY,9,55987235
BTC/EUR,17,53959651
BCC/BTC,7,53840211
BTC/USDT,5,42150980
NEO/BTC,3,35982630
XMR/BTC,7,22454990
LTC/BTC,14,15568126
QTUM/BTC,3,14506610
BTS/BTC,4,14035473
ADA/BTC,1,13997700
DASH/BTC,9,13140851
ZEC/BTC,6,12986651
BCH/BTC,6,12097827
LSK/BTC,6,10818215
WTC/BTC,1,10563200
EMC2/BTC,2,10507250
STRAT/BTC,4,10407396
XRP/BTC,6,9791907
OMG/BTC,4,9627290
SNM/BTC,2,8367780
BNB/BTC,1,7579960
