Pair,Source,Volume (24h)(in $)
ETH/BTC,27,79686161
BTC/USD,24,605085153
BTC/EUR,17,53959651
LTC/BTC,14,15568126
BTC/CNY,9,55987235
DASH/BTC,9,13140851
BTC/JPY,7,220356706
XMR/BTC,7,22454990
BCC/BTC,7,53840211
XRP/BTC,6,9791907
ZEC/BTC,6,12986651
LSK/BTC,6,10818215
ETC/BTC,6,4548740
BCH/BTC,6,12097827
BTC/GBP,5,4459641
BTC/USDT,5,42150980
WAVES/BTC,5,6111090
OMG/BTC,4,9627290
BTC/PLN,4,6271911
STRAT/BTC,4,10407396
XEM/BTC,4,2707625
BTC/CAD,4,2348130
BTS/BTC,4,14035473
NXT/BTC,3,1549866
DOGE/BTC,3,786351
