icmp_seq,time,mean_period5,mean_period10,mean_period20,StdDev_period5,StdDev_period10,StdDev_period20
1,70.8,,,,,,
2,58.3,,,,,,
3,54.9,,,,,,
4,65.2,,,,,,
5,68.9,63.62,,,6.8240017585,,
6,58.0,61.06,,,5.77780235038,,
7,56.3,60.66,,,6.07807535327,,
9,84.8,66.64,,,11.3856488616,,
10,95.4,72.68,,,17.0381043547,,
11,116,82.1,72.86,,25.396062687,20.0551572752,
12,80.2,86.54,73.8,,21.8178367397,20.1678512049,
13,66.6,88.6,74.63,,18.4797186126,19.6224955939,
14,59.5,83.54,75.09,,22.7505604327,19.156980161,
15,60.6,76.58,74.63,,23.5251354938,19.4734605724,
16,69.0,67.18,74.64,,8.29831308158,19.4702165713,
17,67.1,64.56,75.55,,4.231193685,18.8074601038,
18,76.4,66.52,77.56,,6.86345394098,17.5538663041,
19,56.4,65.9,74.72,,7.74015503721,18.5230067154,
20,54.5,64.68,70.63,,9.13876359252,17.9561843262,
21,59.9,62.86,65.02,68.94,8.96788715362,8.45771179982,15.5106211488
22,58.0,61.04,62.8,68.3,8.8143632782,6.77708557485,15.6928411436
24,61.3,58.02,62.27,68.45,2.70684317979,6.65299431334,15.6063246289
25,82.7,63.28,64.59,69.84,11.1517711598,9.15453136127,15.5739458543
26,93.1,71.0,67.84,71.235,15.9028299368,12.6733491145,16.3658590396
27,79.9,75.0,68.93,71.785,14.8963082675,13.2402626694,16.4677763494
28,71.4,77.68,69.36,72.455,11.996332773,13.2440510754,16.146874392
29,70.8,79.58,68.8,73.18,9.17371244372,13.0299654643,15.7027520216
30,57.2,74.48,68.88,71.8,13.2070814338,12.9475694845,15.8399893674
31,54.2,66.7,68.85,69.74,10.7196082018,12.9848843746,15.2783438066
32,59.6,62.64,68.82,66.92,7.9591456828,13.0081854572,10.8552970334
33,57.3,59.82,68.75,65.775,6.43055207583,13.0745936839,10.5851870182
34,56.6,56.98,68.28,65.275,1.92924855838,13.4512122543,10.7785789025
35,60.2,57.58,66.03,65.31,2.41909073827,12.6277516253,10.7599598904
36,56.0,57.94,62.32,65.08,1.85956984273,8.59790672199,10.9139987365
37,56.4,57.3,59.97,64.45,1.68819430161,6.11083736761,11.038759465
39,66.1,59.06,59.44,64.4,4.28228910748,5.16617201933,11.028384431
40,95.6,66.86,61.92,65.36,16.5700935423,12.2800470502,12.8183421212
